,y_pred,0,charge,discharge,soc_start,soc_end
2025-06-30 02:00:00+02:00,90.83934647201833,21812.25657894737,0.0,0.0,0.0,0.0
2025-06-30 02:15:00+02:00,90.99464411359881,,0.0,0.0,0.0,-0.0
2025-06-30 02:30:00+02:00,90.74654680437712,,0.0,0.0,-0.0,-0.0
2025-06-30 02:45:00+02:00,89.1283940958027,,0.0,0.0,-0.0,-0.0
2025-06-30 03:00:00+02:00,86.8750949493562,,12.5,0.0,-0.0,11.875
2025-06-30 03:15:00+02:00,87.0636274014537,,12.5,0.0,11.875,23.75
2025-06-30 03:30:00+02:00,87.0636274014537,,12.5,0.0,23.75,35.625
2025-06-30 03:45:00+02:00,87.28679306662603,,7.236842105263158,0.0,35.625,42.5
2025-06-30 04:00:00+02:00,84.96800040197651,,12.5,0.0,42.5,54.375
2025-06-30 04:15:00+02:00,86.78470152988793,,12.5,0.0,54.375,66.25
2025-06-30 04:30:00+02:00,86.86361120783631,,12.5,0.0,66.25,78.125
2025-06-30 04:45:00+02:00,86.95439377160842,,12.5,0.0,78.125,90.0
2025-06-30 05:00:00+02:00,98.71318891614399,,0.0,0.0,90.0,90.0
2025-06-30 05:15:00+02:00,100.47042149440011,,0.0,0.0,90.0,90.0
2025-06-30 05:30:00+02:00,101.20234383631671,,0.0,0.0,90.0,90.0
2025-06-30 05:45:00+02:00,101.39822856929794,,0.0,0.0,90.0,90.0
2025-06-30 06:00:00+02:00,113.92953017653981,,0.0,12.5,90.0,76.84210526315789
2025-06-30 06:15:00+02:00,114.5350661590656,,0.0,12.5,76.84210526315789,63.68421052631579
2025-06-30 06:30:00+02:00,116.17136563246747,,0.0,12.5,63.68421052631579,50.526315789473685
2025-06-30 06:45:00+02:00,120.1525444593901,,0.0,12.5,50.526315789473685,37.36842105263158
2025-06-30 07:00:00+02:00,115.73789046000289,,0.0,12.5,37.36842105263158,24.21052631578948
