,15min cena (EUR/MWh),0,charge,discharge,soc_start,soc_end
2025-06-30 00:00:00+00:00,85.03,22151.38815789474,7.236842105263159,0.0,0.0,6.875000000000001
2025-06-30 00:15:00+00:00,85.03,,12.5,0.0,6.875000000000001,18.75
2025-06-30 00:30:00+00:00,85.03,,12.5,0.0,18.75,30.625
2025-06-30 00:45:00+00:00,85.03,,12.5,0.0,30.625,42.5
2025-06-30 01:00:00+00:00,84.13,,12.5,0.0,42.5,54.375
2025-06-30 01:15:00+00:00,84.13,,12.5,0.0,54.375,66.25
2025-06-30 01:30:00+00:00,84.13,,12.5,0.0,66.25,78.125
2025-06-30 01:45:00+00:00,84.13,,12.5,0.0,78.125,90.0
2025-06-30 02:00:00+00:00,86.44,,0.0,0.0,90.0,90.0
2025-06-30 02:15:00+00:00,86.44,,0.0,0.0,90.0,90.0
2025-06-30 02:30:00+00:00,86.44,,0.0,0.0,90.0,90.0
2025-06-30 02:45:00+00:00,86.44,,0.0,0.0,90.0,90.0
2025-06-30 03:00:00+00:00,97.23,,0.0,0.0,90.0,90.0
2025-06-30 03:15:00+00:00,97.23,,0.0,0.0,90.0,90.0
2025-06-30 03:30:00+00:00,97.23,,0.0,0.0,90.0,90.0
2025-06-30 03:45:00+00:00,97.23,,0.0,0.0,90.0,90.0
2025-06-30 04:00:00+00:00,114.67,,0.0,12.5,90.0,76.84210526315789
2025-06-30 04:15:00+00:00,114.67,,0.0,12.5,76.84210526315789,63.68421052631579
2025-06-30 04:30:00+00:00,114.67,,0.0,12.5,63.68421052631579,50.526315789473685
2025-06-30 04:45:00+00:00,114.67,,0.0,12.5,50.526315789473685,37.36842105263158
2025-06-30 05:00:00+00:00,111.75,,0.0,0.0,37.36842105263158,37.36842105263158
2025-06-30 05:15:00+00:00,111.75,,0.0,10.500000000000005,37.36842105263158,26.31578947368421
2025-06-30 05:30:00+00:00,111.75,,0.0,12.5,26.31578947368421,13.157894736842104
2025-06-30 05:45:00+00:00,111.75,,0.0,12.5,13.157894736842104,-0.0
2025-06-30 06:00:00+00:00,104.99,,0.0,0.0,-0.0,-0.0
2025-06-30 06:15:00+00:00,104.99,,0.0,0.0,-0.0,-0.0
2025-06-30 06:30:00+00:00,104.99,,0.0,0.0,-0.0,-0.0
2025-06-30 06:45:00+00:00,104.99,,0.0,0.0,-0.0,-0.0
2025-06-30 07:00:00+00:00,98.14,,0.0,0.0,-0.0,-0.0
2025-06-30 07:15:00+00:00,98.14,,0.0,0.0,-0.0,-0.0
2025-06-30 07:30:00+00:00,98.14,,0.0,0.0,-0.0,-0.0
2025-06-30 07:45:00+00:00,98.14,,0.0,0.0,-0.0,-0.0
2025-06-30 08:00:00+00:00,87.73,,0.0,0.0,-0.0,-0.0
2025-06-30 08:15:00+00:00,87.73,,0.0,0.0,-0.0,-0.0
2025-06-30 08:30:00+00:00,87.73,,0.0,0.0,-0.0,-0.0
2025-06-30 08:45:00+00:00,87.73,,0.0,0.0,-0.0,-0.0
2025-06-30 09:00:00+00:00,61.18,,0.0,0.0,-0.0,-0.0
2025-06-30 09:15:00+00:00,61.18,,0.0,0.0,-0.0,-0.0
2025-06-30 09:30:00+00:00,61.18,,0.0,0.0,-0.0,-0.0
2025-06-30 09:45:00+00:00,61.18,,0.0,0.0,-0.0,0.0
2025-06-30 10:00:00+00:00,22.74,,12.5,0.0,0.0,11.875
2025-06-30 10:15:00+00:00,22.74,,12.5,0.0,11.875,23.75
2025-06-30 10:30:00+00:00,22.74,,12.5,0.0,23.75,35.625
2025-06-30 10:45:00+00:00,22.74,,12.5,0.0,35.625,47.5
2025-06-30 11:00:00+00:00,19.98,,12.5,0.0,47.5,59.375
2025-06-30 11:15:00+00:00,19.98,,12.5,0.0,59.375,71.25
2025-06-30 11:30:00+00:00,19.98,,12.5,0.0,71.25,83.125
2025-06-30 11:45:00+00:00,19.98,,12.5,0.0,83.125,95.0
2025-06-30 12:00:00+00:00,26.65,,0.0,0.0,95.0,95.0
